rank,player_display_name,recent_team,games,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,catch_rate,yac_per_rec,avg_snap_pct,fppg,fppg_ppr
47,Miles Sanders,CAR,11,55,205.0,2,3.73,30,24,148.0,1,0.097160645,0.8,6.25,0.3336363636363636,4.85,7.03
48,Sincere McCormick,LV,4,39,183.0,0,4.69,7,6,29.0,0,0.06778712,0.857,4.83,0.26,5.3,6.8
49,Ray Davis,BUF,19,120,478.0,4,3.98,19,17,189.0,3,0.058956403,0.895,9.65,0.2225,5.72,6.62
50,Isiah Pacheco,KC,10,96,347.0,1,3.61,21,15,96.0,0,0.080122076,0.714,9.2,0.434,5.03,6.53
51,Roschon Johnson,CHI,12,55,150.0,6,2.73,20,16,104.0,0,0.09166796,0.8,6.0,0.2814285714285714,5.12,6.45
52,Devin Singletary,NYG,15,113,437.0,4,3.87,24,21,119.0,0,0.061069403,0.875,8.48,0.3893333333333333,5.04,6.44
53,Sean Tucker,TB,11,50,308.0,2,6.16,12,9,109.0,1,0.042382933,0.75,11.67,0.08722222222222223,5.43,6.25
54,Tyler Allgeier,ATL,17,137,644.0,3,4.7,13,13,88.0,0,0.04049295,1.0,7.15,0.24941176470588236,5.48,6.25
55,Antonio Gibson,NE,17,120,538.0,1,4.48,29,23,206.0,0,0.07675144,0.793,9.26,0.33294117647058824,4.73,6.08
56,Cam Akers,MIN,11,69,336.0,1,4.87,11,10,52.0,2,0.051892012,0.909,7.2,0.21846153846153846,5.16,6.07
57,Cam Akers,HOU,5,40,147.0,1,3.68,7,4,16.0,1,0.06163116,0.571,2.75,0.27799999999999997,5.26,6.06
58,Patrick Taylor,SF,5,39,183.0,1,4.69,11,3,25.0,0,0.07646795,0.273,6.33,0.19615384615384615,5.36,5.96
59,Raheem Mostert,MIA,12,85,278.0,2,3.27,23,19,161.0,0,0.06966879,0.826,7.68,0.31384615384615383,4.33,5.91
60,Jaleel McLaughlin,DEN,17,115,494.0,1,4.3,28,25,76.0,2,0.067915194,0.893,6.76,0.27647058823529413,4.29,5.76
61,Ty Johnson,BUF,20,61,307.0,1,5.03,29,22,318.0,4,0.063779585,0.759,8.36,0.3045,4.62,5.72
62,Emanuel Wilson,GB,18,106,508.0,4,4.79,17,12,71.0,1,0.0591095,0.706,10.75,0.23055555555555557,4.88,5.55
63,Gus Edwards,LAC,12,108,387.0,4,3.58,5,3,6.0,0,0.04402778,0.6,3.67,0.33,5.27,5.53
64,Chris Rodriguez,WAS,6,35,173.0,2,4.94,1,1,12.0,0,0.028571429,1.0,11.0,0.11777777777777779,5.08,5.25
65,Isaiah Davis,NYJ,9,30,174.0,1,5.8,12,9,75.0,1,0.06621378,0.75,8.33,0.09999999999999999,4.1,5.1
66,Braelon Allen,NYJ,17,92,334.0,2,3.63,27,19,148.0,1,0.05851024,0.704,8.58,0.26,3.89,5.01
67,Tyler Goodson,IND,9,32,153.0,1,4.78,15,11,61.0,1,0.06784467,0.733,6.09,0.12625,3.71,4.93
68,Will Shipley,PHI,6,34,159.0,1,4.68,4,4,35.0,0,0.09756097,1.0,7.0,0.05500000000000001,4.23,4.9
69,Kendre Miller,NO,6,39,148.0,1,3.79,8,5,33.0,0,0.04890085,0.625,6.6,0.27999999999999997,4.02,4.85
70,Jeremy McNichols,WAS,16,60,270.0,5,4.5,12,9,27.0,0,0.06309274,0.75,3.67,0.198,3.86,4.42
71,Khalil Herbert,CIN,5,28,114.0,0,4.07,9,8,21.0,0,0.09858443,0.889,4.75,0.1875,2.7,4.3
72,Samaje Perine,KC,20,21,100.0,1,4.76,38,29,339.0,1,0.05999481,0.763,11.38,0.2575,2.8,4.25
73,Emari Demercado,ARI,13,24,223.0,1,9.29,20,16,104.0,0,0.08117437,0.8,5.94,0.2030769230769231,2.98,4.21
74,Dameon Pierce,HOU,11,46,318.0,2,6.91,5,2,2.0,0,0.04242599,0.4,2.5,0.16076923076923075,4.0,4.18
75,Trey Benson,ARI,12,63,291.0,1,4.62,6,6,59.0,0,0.048431564,1.0,13.0,0.16692307692307692,3.42,3.92
76,Trey Sermon,IND,14,56,159.0,2,2.84,19,16,99.0,0,0.054116946,0.842,6.19,0.22058823529411764,2.7,3.84
77,Ezekiel Elliott,DAL,15,74,226.0,3,3.05,15,12,69.0,0,0.04345484,0.8,8.08,0.25266666666666665,3.03,3.83
78,Christopher Brooks,GB,12,36,183.0,1,5.08,16,13,78.0,0,0.06512033,0.812,8.69,,2.67,3.76
79,Audric Estime,DEN,13,76,310.0,2,4.08,5,5,27.0,0,0.052419353,1.0,7.4,0.16615384615384615,3.36,3.75
80,Jordan Mims,NO,7,20,70.0,0,3.5,18,12,71.0,0,0.11977059,0.667,6.67,0.15181818181818182,2.01,3.73
81,Zamir White,LV,8,65,183.0,1,2.82,8,6,30.0,0,0.0609623,0.75,8.33,0.305,2.91,3.66
