rank,player_display_name,recent_team,games,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,fppg,fppg_ppr
184,Ronnie Bell,SF,3,6,2,22.0,0,0.068172045,0.067083985,0.14921685,0.26681784,10.83,0.333,3.67,1.0,0.19,0.73,1.4
185,Trenton Irwin,CIN,4,10,3,15.0,0,0.07506023,0.07828432,0.16738936,0.36956522,6.2,0.3,1.5,1.33,0.2914285714285714,0.38,1.12
186,Allen Robinson,DET,6,7,3,30.0,0,0.042655047,0.056779046,0.10372791,0.4569378,7.29,0.429,4.29,1.33,0.12,0.5,1.0
187,Marquez Valdes-Scantling,BUF,5,9,2,26.0,0,0.06993281,0.15623519,0.21426384,0.16242424,15.67,0.222,2.89,3.0,0.37833333333333335,0.52,0.92
188,Jamari Thrash,CLE,6,7,3,22.0,0,0.029062808,0.030633902,0.06503794,0.9777778,7.29,0.429,3.14,4.67,0.23000000000000004,0.37,0.87
189,Josh Reynolds,JAX,3,5,1,11.0,0,0.049533814,0.066282235,0.12069828,0.14666666,10.6,0.2,2.2,0.0,0.45499999999999996,0.37,0.7
190,Javon Baker,NE,4,4,1,12.0,0,0.03461941,0.049355038,0.08647764,0.25,12.5,0.25,3.0,0.0,0.12727272727272726,0.3,0.55
191,Diontae Johnson,BAL,3,5,1,6.0,0,0.058211725,0.15521757,0.19596988,0.057142857,24.6,0.2,1.2,1.0,0.1625,0.2,0.53
192,Kameron Johnson,TB,3,1,0,0.0,0,0.021276595,0.009933775,0.038868535,0.0,3.0,0.0,0.0,,0.132,0.37,0.37
193,Braxton Berrios,MIA,3,4,0,0.0,0,0.038280215,0.036867756,0.08322775,0.0,6.5,0.0,0.0,,0.26833333333333337,0.0,0.0
