,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz_targets
88,Andrei Iosivas,CIN,15,89.9,5.99,58,33,435,2,0.1020081918267881,0.1311847832961335,0.2448416360474756,0.8058356980746518,10.45,0.569,7.5,3.12,0.7617647058823529,7
89,DeMario Douglas,NE,16,95.8,5.99,46,31,447,3,0.09764330564696,0.1012981097985701,0.2173736353294392,1.4552811388199365,9.67,0.674,9.72,6.9,0.19,7
90,Hunter Renfrow,CAR,6,35.900000000000006,5.98,26,15,89,2,0.130299630334314,0.1324348658213494,0.2881538515764156,0.5796504220417263,7.46,0.577,3.42,1.6,0.4916666666666667,6
91,Xavier Legette,CAR,15,89.30000000000001,5.95,64,35,363,3,0.1429700924679145,0.1968925890101483,0.3522799510089757,0.4736803590002702,9.89,0.547,5.67,2.14,0.6786666666666666,12
92,Jalen Nailor,MIN,17,100.7,5.92,53,29,444,4,0.1165495934707294,0.1713949886223131,0.2948008822417133,0.6579405455247063,12.38,0.547,8.38,3.86,0.6535294117647058,13
93,Dontayvion Wicks,GB,13,75.8,5.83,46,30,332,2,0.1281355926714016,0.1688100668503652,0.3103704358023582,0.793640105992804,11.24,0.652,7.22,2.23,0.4464285714285714,4
94,Rashid Shaheed,SEA,9,52.2,5.8,26,15,188,0,0.1000871950240814,0.140559127512185,0.2485221817946516,0.5740580407247075,11.73,0.577,7.23,2.2,0.4788888888888889,9
95,Pat Bryant,DEN,13,74.8,5.75,49,31,378,1,0.1095919687239982,0.1620363703858389,0.2778134123560847,1.1407356161774858,8.37,0.633,7.71,4.74,0.4766666666666667,8
96,Luke McCaffrey,WAS,9,51.3,5.7,15,11,203,3,0.0677562204560802,0.0997842197532186,0.1714832845113733,1.39327731092437,14.53,0.733,13.53,6.27,0.3166666666666666,3
97,KaVontae Turpin,DAL,15,84.5,5.63,38,26,396,2,0.069343128107065,0.0759291124354539,0.1571650708654152,0.977459265338187,8.92,0.684,10.42,8.23,0.3546666666666667,5
98,Darnell Mooney,ATL,15,82.3,5.49,72,32,443,1,0.1621534176960595,0.2797852626274233,0.4390798103832856,0.5599582480376328,14.15,0.444,6.15,2.28,0.8193333333333332,8
99,Isaac TeSlaa,DET,14,75.9,5.42,27,16,239,6,0.0572126799941732,0.1196239316396637,0.1695557721390246,0.6104060300243029,13.04,0.593,8.85,3.44,0.3964705882352941,11
100,Shedrick Jackson,LV,3,15.9,5.3,5,4,56,1,0.0604395604395604,0.1401975535364784,0.1887976281348755,0.8148148148148149,16.2,0.8,11.2,1.0,0.09,0
101,Christian Kirk,HOU,11,57.9,5.26,52,28,239,1,0.1457830508287641,0.1152797342252783,0.299370390200841,0.740428254178683,7.02,0.538,4.6,4.11,0.4861538461538461,7
102,Gabe Davis,BUF,6,30.9,5.15,18,12,129,1,0.1061944932415946,0.1736077333775726,0.2808171532266928,0.6904320987654321,8.83,0.667,7.17,2.5,,6
103,Zay Jones,ARI,6,30.3,5.05,18,12,183,0,0.0848995100009298,0.142228734984404,0.2269093794904776,0.8053595261928596,13.39,0.667,10.17,3.0,0.49625,2
104,Lil'Jordan Humphrey,DEN,5,25.1,5.02,15,9,101,1,0.0820405086583044,0.0950461758181659,0.1895930860601728,0.866929945054945,8.73,0.6,6.73,3.0,0.3542857142857142,4
105,Tyler Lockett,LV,10,50.1,5.01,34,22,221,1,0.1200957814115708,0.1590227430834246,0.2914595922757535,0.9045223917517242,7.82,0.647,6.5,2.32,0.534,3
106,Matthew Golden,GB,14,70.0,5.0,44,29,361,0,0.1238928054921843,0.1940978899459247,0.3217077312004238,0.8656284036065431,12.55,0.659,8.2,3.48,0.5321428571428571,2
107,Cedric Tillman,CLE,12,60.0,5.0,39,21,270,2,0.1050655172680084,0.1669262411386454,0.2744466446990644,0.7367385998050112,11.87,0.538,6.92,2.95,0.6184615384615384,4
108,Van Jefferson,TEN,14,70.0,5.0,52,29,350,1,0.1203991887651996,0.2000295538096037,0.3206194708145221,1.4578243912303972,11.98,0.558,6.73,2.86,0.585625,3
109,Marquez Valdes-Scantling,PIT,5,24.0,4.8,21,10,80,1,0.1097243176190544,0.2153821605803585,0.3153539888348327,0.3525382678323855,12.67,0.476,3.81,2.4,0.5820000000000001,5
110,Devontez Walker,BAL,8,37.6,4.7,8,6,136,3,0.0426820728291316,0.0876166787358342,0.1253547843587814,0.9805,24.5,0.75,17.0,3.83,0.2466666666666666,1
111,Josh Reynolds,NYJ,5,23.1,4.62,21,11,101,0,0.1571325776970938,0.215137350352934,0.3862950117926945,0.5938552295305625,13.14,0.524,4.81,1.27,0.842,2
112,Isaiah Hodgins,NYG,6,27.5,4.58,19,10,115,1,0.1020091465705056,0.1303959883802135,0.2442909117219078,0.6154613935969868,10.89,0.526,6.05,1.7,0.7628571428571428,4
113,Adam Thielen,PIT,5,22.7,4.54,17,11,117,0,0.0888203993467151,0.1202827095636456,0.2174284957146247,1.0032470978441128,9.47,0.647,6.88,3.09,0.604,4
114,Dyami Brown,JAX,11,49.7,4.52,37,20,227,1,0.0986432904735162,0.173956247218236,0.2697343087630396,0.4713499275048772,14.0,0.541,6.14,1.55,0.3664285714285714,9
115,Jahdae Walker,CHI,6,26.7,4.45,10,6,87,2,0.0515767757147067,0.0737354359419209,0.1289799687314048,0.6708203144373357,13.0,0.6,8.7,1.33,0.151111111111111,2
116,Kalif Raymond,DET,15,66.8,4.45,30,24,289,1,0.0599270287419107,0.0498482925970409,0.1247843479307948,1.7414277466008017,5.63,0.8,9.63,6.54,0.366,2
117,Josh Palmer,BUF,12,52.3,4.36,37,22,303,0,0.1024070528237195,0.1421827189989754,0.253138482534862,0.6611738261738261,11.46,0.595,8.19,2.45,0.4833333333333333,6
118,Tre Harris,LAC,16,69.4,4.34,43,30,324,1,0.0908235086503541,0.0892296913855983,0.19869604694545,0.7407183657594842,9.26,0.698,7.53,4.63,0.4852941176470588,5
119,JuJu Smith-Schuster,KC,17,73.5,4.32,45,33,345,1,0.0862733968113239,0.0597792352381503,0.1712555598836912,1.5301534330700053,5.42,0.733,7.67,5.79,0.5723529411764706,9
120,Roman Wilson,PIT,9,38.6,4.29,21,12,166,2,0.0768149909765593,0.1548316596758154,0.2236046482379098,0.6139291465378423,13.19,0.571,7.9,5.5,0.3307692307692307,0
121,Rashod Bateman,BAL,13,55.400000000000006,4.26,38,19,224,2,0.1194386420215939,0.1746172861358438,0.3013900633274816,0.70815947497293,12.32,0.5,5.89,2.05,0.693076923076923,9
122,Tyler Johnson,NYJ,9,37.7,4.19,18,12,197,1,0.0784536827112728,0.1079710808503387,0.1932602806621463,0.866862127041518,11.67,0.667,10.94,5.33,0.41,0
123,Demarcus Robinson,SF,14,58.2,4.16,35,22,276,1,0.0757834852696854,0.142572431144537,0.2134759297057041,0.567081722451835,13.49,0.629,7.89,1.64,0.4678571428571428,4
124,Tyrell Shavers,BUF,11,45.5,4.14,23,15,245,1,0.0773709119163664,0.1230815942043021,0.2022134838175611,0.8931251887647237,12.96,0.652,10.65,4.27,0.3958823529411764,0
125,Brandin Cooks,BUF,4,16.400000000000002,4.1,11,5,114,0,0.0990591534069794,0.3755025505568787,0.4114405155002843,0.4356617647058823,25.91,0.455,10.36,1.2,0.3359999999999999,1
126,David Sills,ATL,12,49.1,4.09,36,18,191,2,0.1013078923114503,0.1414515927136732,0.2509779533667469,0.5633597883597884,11.22,0.5,5.31,3.11,0.1533333333333333,6
127,Isaiah Williams,NYJ,15,60.7,4.05,36,26,193,0,0.0876617013073369,0.0495289487093205,0.1661628160575299,0.985581473968898,3.39,0.722,5.36,4.58,0.3613333333333333,1
128,Jaylin Noel,HOU,17,68.4,4.02,35,26,292,2,0.0603900680571931,0.0562661507438357,0.1299714076064748,0.940260167183244,9.34,0.743,8.34,3.81,0.26,5
129,Tim Patrick,JAX,13,51.7,3.98,24,15,187,3,0.0619755314328104,0.0687024207653396,0.1410549916849533,1.3257392007392008,10.75,0.625,7.79,3.6,0.3175,9
130,Mitchell Tinsley,CIN,8,31.6,3.95,24,8,116,2,0.0832375688276244,0.1377020582170009,0.2212477939933373,0.4382619817712699,14.75,0.333,4.83,2.0,0.2464705882352941,5
131,Brandin Cooks,NO,9,35.5,3.94,25,19,165,0,0.0829237102252791,0.1050612567215816,0.1979284450430258,0.9552761351454162,9.24,0.76,6.6,1.95,0.65,1
132,DeAndre Hopkins,BAL,17,67.0,3.94,39,22,330,2,0.0987957062191976,0.1529872250193689,0.2552846168423546,0.8032913749312134,13.15,0.564,8.46,2.95,0.33,3
133,Tutu Atwell,LA,8,31.2,3.9,15,6,192,1,0.0494642844453342,0.0893621459271773,0.1367499288170254,0.5662201833254465,20.13,0.4,12.8,11.17,0.279,1
134,Chris Moore,WAS,10,38.6,3.86,23,11,207,1,0.090372862723784,0.1373402763508056,0.23169748753124,0.7876021725192148,14.43,0.478,9.0,4.82,0.4857142857142857,2
135,Jalen Tolbert,DAL,12,46.3,3.86,34,18,203,1,0.0764727973380298,0.1190254200330817,0.198026990030202,0.5760112887306182,12.0,0.529,5.97,2.56,0.5130769230769231,5
136,Michael Bandy,DEN,4,15.0,3.75,4,4,50,1,0.0286789546899841,0.0223759321476844,0.0586815845383552,2.324242424242424,6.0,1.0,12.5,6.5,0.0625,1
137,Isaiah Bond,CLE,15,54.7,3.65,44,18,338,0,0.0927408085221625,0.2140520233808276,0.2889476291498232,0.3808935397886676,17.07,0.409,7.68,4.39,0.4806249999999999,4
138,Treylon Burks,WAS,8,29.0,3.62,22,10,130,1,0.1254544979873927,0.1736095951641926,0.3097084635960239,0.5242900705164856,13.45,0.455,5.91,3.4,0.6012500000000001,4
139,Curtis Samuel,BUF,6,21.1,3.52,9,7,81,1,0.0538694638694638,0.0863332222241393,0.1412374513610933,1.2367771648339545,16.11,0.778,9.0,3.86,0.3983333333333332,1
140,Kyle Williams,NE,14,49.2,3.51,21,10,209,3,0.0504038449235493,0.0931492559904713,0.1408102465786539,0.8443426131708733,19.05,0.476,9.95,7.9,0.308235294117647,0
141,Robbie Chosen,WAS,3,10.3,3.43,9,5,53,0,0.1151110661677958,0.1519500448670217,0.279031630658609,0.4500597371565114,14.56,0.556,5.89,1.0,0.3766666666666666,0
142,Jaylin Lane,WAS,15,51.2,3.41,32,16,225,0,0.0825557534387393,0.1161643934492113,0.205148705572557,0.4597735335736909,13.34,0.5,7.03,2.44,0.362,2
143,Jahan Dotson,PHI,15,50.2,3.35,36,18,262,1,0.0833116365870847,0.1381864989604836,0.2216980041529656,0.449014315374328,15.42,0.5,7.28,2.78,0.5688235294117647,5
