team,games,pass_rate,run_rate,rz_attempts,rz_conv_pct,third_down_pct
ARI,17,66.1,33.9,169,20.1,41.5
ATL,17,55.1,44.9,142,21.8,33.7
BAL,17,48.7,51.3,177,15.8,41.3
BUF,17,51.0,49.0,199,22.1,45.9
CAR,17,55.3,44.7,149,16.1,36.5
CHI,17,54.7,45.3,180,17.8,42.5
CIN,17,64.5,35.5,151,25.2,44.0
CLE,17,59.2,40.8,129,15.5,33.6
DAL,17,59.3,40.7,199,18.6,42.0
DEN,17,59.3,40.7,170,19.4,41.4
DET,17,58.9,41.1,191,21.5,39.0
GB,17,52.3,47.7,171,19.9,48.5
HOU,17,57.1,42.9,166,15.1,37.4
IND,17,57.4,42.6,194,22.7,43.0
JAX,17,56.1,43.9,207,20.8,40.3
KC,17,60.2,39.8,189,18.5,38.0
LA,17,58.4,41.6,198,24.2,40.4
LAC,17,57.9,42.1,166,16.9,46.0
LV,17,61.4,38.6,117,15.4,33.8
MIA,17,55.0,45.0,143,18.9,34.9
MIN,17,58.0,42.0,150,20.7,32.3
NE,17,54.2,45.8,174,20.7,43.6
NO,17,59.7,40.3,126,15.9,39.6
NYG,17,53.4,46.6,185,16.2,40.4
NYJ,17,55.1,44.9,129,13.2,34.9
PHI,17,53.5,46.5,154,20.1,37.7
PIT,17,59.5,40.5,166,18.1,40.4
SEA,17,50.8,49.2,169,18.9,40.6
SF,17,56.6,43.4,201,21.4,50.7
TB,17,56.4,43.6,149,18.8,41.4
TEN,17,62.6,37.4,101,19.8,31.9
WAS,17,51.5,48.5,158,20.3,38.0
