player,position,team,fc_rank,fc_pos_rank,fc_value
Oronde Gadsden,TE,LAC,164,20,140
David Njoku,TE,LAC,165,21,136
Keaton Mitchell,RB,LAC,166,56,129
Jalen Nailor,WR,LV,167,66,127
Chig Okonkwo,TE,WAS,168,22,127
Jerry Jeudy,WR,CLE,169,67,125
De'Zhaun Stribling,WR,SF,170,68,121
Kaelon Black,RB,SF,171,57,119
Antonio Williams,WR,WAS,172,69,117
Kaleb Johnson,RB,PIT,173,58,114
Tank Bigsby,RB,PHI,174,59,100
Brenton Strange,TE,JAX,175,23,97
Elijah Sarratt,WR,BAL,176,70,81
Jalen McMillan,WR,TB,177,71,72
Bryce Young,QB,CAR,178,25,67
Dylan Sampson,RB,CLE,179,60,65
Daniel Jones,QB,IND,180,26,65
Malachi Fields,WR,NYG,181,72,62
Dalton Schultz,TE,HOU,182,24,56
Demond Claiborne,RB,MIN,183,61,48
Skyler Bell,WR,BUF,184,73,38
Zachariah Branch,WR,ATL,185,74,38
Tre' Harris,WR,LAC,186,75,34
Juwan Johnson,TE,NO,187,25,33
Isaac TeSlaa,WR,DET,188,76,31
Chris Brazzell,WR,CAR,189,77,27
Malik Willis,QB,MIA,190,27,24
Ted Hurst,WR,TB,191,78,22
Braelon Allen,RB,NYJ,192,62,19
Deebo Samuel,WR,,193,79,19
AJ Barner,TE,SEA,194,26,14
Emanuel Wilson,RB,SEA,195,63,10
Ty Simpson,QB,LAR,196,28,5
Aaron Rodgers,QB,,197,29,5
Cade Otton,TE,TB,198,27,4
Trey Benson,RB,ARI,199,64,1
