round,pick_in_round,overall_pick,player,position,team,adp
10,1,109,Jordan Love,QB,GB,108.0
10,2,110,Wan'Dale Robinson,WR,TEN,108.0
10,3,111,Kyler Murray,QB,MIN,108.5
10,4,112,Baker Mayfield,QB,TB,111.0
10,5,113,Romeo Doubs,WR,NE,115.0
10,6,114,Khalil Shakir,WR,BUF,118.5
10,7,115,George Kittle,TE,SF,118.5
10,8,116,Matthew Golden,WR,GB,119.0
10,9,117,Jacory Croskey-Merritt,RB,WAS,121.5
10,10,118,Malik Willis,QB,MIA,121.5
10,11,119,Jake Ferguson,TE,DAL,122.0
10,12,120,Travis Kelce,TE,KC,122.5
11,1,121,Rachaad White,RB,WAS,122.5
11,2,122,Jordan Mason,RB,MIN,123.0
11,3,123,KC Concepcion,WR,CLE,123.5
11,4,124,Aaron Jones Sr.,RB,MIN,124.0
11,5,125,Xavier Worthy,WR,KC,124.5
11,6,126,Jayden Higgins,WR,HOU,124.5
11,7,127,Jalen Coker,WR,CAR,125.0
11,8,128,Chris Rodriguez Jr.,RB,JAC,125.5
11,9,129,Oronde Gadsden II,TE,LAC,128.5
11,10,130,Isaiah Likely,TE,NYG,128.5
11,11,131,Dallas Goedert,TE,PHI,130.0
11,12,132,Dalton Kincaid,TE,BUF,130.0
12,1,133,Sam Darnold,QB,SEA,131.5
12,2,134,Jonathon Brooks,RB,CAR,133.0
12,3,135,C.J. Stroud,QB,HOU,133.0
12,4,136,Tyrone Tracy Jr.,RB,NYG,133.5
12,5,137,Cam Ward,QB,TEN,135.0
12,6,138,Houston Texans DST,DST,HOU,135.0
12,7,139,Mark Andrews,TE,BAL,138.0
12,8,140,Daniel Jones,QB,IND,140.0
12,9,141,Bryce Young,QB,CAR,143.0
12,10,142,Tyler Allgeier,RB,ARI,145.0
12,11,143,Jauan Jennings,WR,MIN,145.5
12,12,144,Juwan Johnson,TE,NO,146.0
13,1,145,Woody Marks,RB,HOU,146.5
13,2,146,Jalen McMillan,WR,TB,148.0
13,3,147,Stefon Diggs,WR,FA,148.0
13,4,148,Kenyon Sadiq,TE,NYJ,149.0
13,5,149,Rashid Shaheed,WR,SEA,149.0
13,6,150,Seattle Seahawks DST,DST,SEA,149.0
13,7,151,Brenton Strange,TE,JAC,152.0
13,8,152,Denver Broncos DST,DST,DEN,152.0
13,9,153,Isiah Pacheco,RB,DET,153.0
13,10,154,Jonah Coleman,RB,DEN,153.5
13,11,155,Hunter Henry,TE,NE,154.0
13,12,156,Dylan Sampson,RB,CLE,155.0
14,1,157,Tyjae Spears,RB,TEN,155.5
14,2,158,Keaton Mitchell,RB,LAC,156.0
14,3,159,Omar Cooper Jr.,WR,NYJ,156.0
14,4,160,Tre Tucker,WR,LV,156.0
14,5,161,Chig Okonkwo,TE,WAS,157.5
14,6,162,Los Angeles Rams DST,DST,LAR,161.0
14,7,163,Deebo Samuel Sr.,WR,FA,161.5
14,8,164,Jalen Nailor,WR,LV,165.0
14,9,165,T.J. Hockenson,TE,MIN,166.0
14,10,166,Denzel Boston,WR,CLE,166.0
14,11,167,Zach Charbonnet,RB,SEA,168.0
14,12,168,Emmett Johnson,RB,KC,169.5
15,1,169,Dalton Schultz,TE,HOU,170.5
15,2,170,Brian Robinson Jr.,RB,ATL,174.0
15,3,171,Brandon Aiyuk,WR,SF,174.0
15,4,172,Emanuel Wilson,RB,SEA,174.5
15,5,173,Cleveland Browns DST,DST,CLE,175.0
15,6,174,Alvin Kamara,RB,NO,175.5
15,7,175,AJ Barner,TE,SEA,177.0
15,8,176,Tre' Harris,WR,LAC,179.0
15,9,177,Minnesota Vikings DST,DST,MIN,179.0
15,10,178,New England Patriots DST,DST,NE,180.0
15,11,179,Jerry Jeudy,WR,CLE,181.0
15,12,180,Kaytron Allen,RB,WAS,184.5
16,1,181,Philadelphia Eagles DST,DST,PHI,185.0
16,2,182,Tank Bigsby,RB,PHI,186.5
16,3,183,Jacksonville Jaguars DST,DST,JAC,187.0
16,4,184,Pittsburgh Steelers DST,DST,PIT,188.0
16,5,185,Ryan Flournoy,WR,DAL,188.5
16,6,186,Gunnar Helm,TE,TEN,191.0
16,7,187,Nicholas Singleton,RB,TEN,192.0
16,8,188,Los Angeles Chargers DST,DST,LAC,193.0
16,9,189,Kimani Vidal,RB,LAC,193.5
16,10,190,James Conner,RB,ARI,196.5
16,11,191,Cade Otton,TE,TB,197.0
16,12,192,Pat Freiermuth,TE,PIT,198.5
17,1,193,Calvin Ridley,WR,TEN,200.0
17,2,194,Braelon Allen,RB,NYJ,201.0
17,3,195,David Njoku,TE,LAC,202.0
17,4,196,Troy Franklin,WR,DEN,205.5
17,5,197,Ray Davis,RB,BUF,206.0
17,6,198,Colby Parkinson,TE,LAR,206.5
17,7,199,Sean Tucker,RB,TB,208.5
17,8,200,Tank Dell,WR,HOU,213.5
