rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
27,Jerry Jeudy,CLE,17,240.9,14.17,145,90,1229.0,4,0.22645071,0.33442187,0.57377136,0.7274842,11.11,0.621,8.48,4.3,0.8970588235294118,13,22.8,5,18.5
28,Jameson Williams,DET,15,212.2,14.15,91,58,1001.0,7,0.18682179,0.31928933,0.50373524,1.1717762,11.4,0.637,11.0,8.57,0.7953333333333333,10,11.2,3,7.3
29,Jauan Jennings,SF,15,210.5,14.03,113,77,975.0,6,0.25201762,0.30846855,0.59395444,0.8692852,9.9,0.681,8.63,3.09,0.744,15,19.7,8,22.2
30,D.J. Moore,CHI,17,238.1,14.01,140,98,966.0,6,0.27091306,0.2614777,0.589404,2.404069,7.49,0.7,6.9,6.0,0.9382352941176472,21,30.9,6,25.0
31,Adam Thielen,CAR,10,139.5,13.95,62,48,615.0,5,0.20403138,0.2622009,0.4895877,0.9450611,11.16,0.774,9.92,3.17,0.708,7,9.7,2,6.3
32,Rashid Shaheed,NO,6,81.8,13.63,41,20,349.0,3,0.24390124,0.50001407,0.71586174,0.60744244,17.59,0.488,8.51,5.3,0.7566666666666667,2,5.1,2,14.3
33,Josh Downs,IND,14,182.2,13.01,107,72,803.0,5,0.26053417,0.16525055,0.50647664,0.95372856,6.86,0.673,7.5,5.5,0.6442857142857142,12,21.4,6,27.3
34,Tyreek Hill,MIA,17,218.2,12.84,122,81,959.0,6,0.21664381,0.39688957,0.60278845,0.735674,11.22,0.664,7.86,3.6,0.7988235294117647,18,21.7,9,22.5
35,DK Metcalf,SEA,15,191.2,12.75,108,66,992.0,5,0.20823957,0.4120515,0.6007954,0.73451245,13.71,0.611,9.19,3.98,,7,13.2,5,19.2
36,Zay Flowers,BAL,17,209.5,12.32,116,74,1059.0,4,0.25424853,0.27054673,0.57075554,1.0386443,10.41,0.638,9.13,6.26,0.7464705882352941,7,11.5,6,20.0
37,Keenan Allen,CHI,15,184.4,12.29,121,70,744.0,7,0.26502103,0.31850994,0.62048846,0.87590224,9.21,0.579,6.15,3.43,0.868,15,22.1,8,33.3
38,Khalil Shakir,BUF,15,182.5,12.17,100,76,821.0,4,0.22981872,0.1539292,0.4524785,2.5431502,5.48,0.76,8.21,7.86,0.6133333333333333,8,13.8,2,7.1
39,Darnell Mooney,ATL,16,193.2,12.07,106,64,992.0,5,0.20557398,0.32808062,0.5380174,0.8908061,12.21,0.604,9.36,4.3,0.9275,6,10.5,2,10.5
40,Diontae Johnson,CAR,7,84.299995,12.04,58,30,357.0,3,0.25280046,0.42828515,0.6790003,0.55687195,9.83,0.517,6.16,2.87,0.7999999999999999,11,,9,
41,George Pickens,PIT,14,164.4,11.74,103,59,900.0,3,0.2673807,0.47271279,0.73196995,0.66256136,13.7,0.573,8.74,3.64,0.8021428571428572,16,28.1,7,28.0
42,Calvin Ridley,TEN,17,199.2,11.72,120,64,1017.0,4,0.23806813,0.43295926,0.66017365,0.53056604,15.69,0.533,8.48,3.61,0.8129411764705883,7,15.6,3,13.6
43,Xavier Worthy,KC,16,187.2,11.7,98,59,638.0,6,0.17852758,0.2633402,0.4521295,1.4858804,9.22,0.602,6.51,6.9,0.6411764705882353,17,17.7,7,15.2
44,Quentin Johnston,LAC,15,174.7,11.65,91,55,711.0,8,0.20936987,0.2660437,0.5002854,0.7538672,10.84,0.604,7.81,5.56,0.7080000000000001,11,22.0,2,9.1
45,Jayden Reed,GB,17,197.0,11.59,75,55,857.0,6,0.16182905,0.14384891,0.34343785,1.8378115,9.07,0.733,11.43,6.91,0.631764705882353,10,14.1,4,16.0
46,Marvin Harrison,ARI,17,196.5,11.56,116,62,885.0,8,0.22580168,0.4266521,0.63735896,0.5767716,13.5,0.534,7.63,2.39,,13,21.3,6,20.0
47,Deebo Samuel,SF,14,155.6,11.11,81,51,670.0,3,0.201858,0.15861438,0.41381708,1.5238274,6.8,0.63,8.27,8.25,0.7313333333333334,13,17.1,5,13.9
48,Rashod Bateman,BAL,16,174.6,10.91,72,45,756.0,9,0.1685824,0.2825878,0.45068505,0.84896034,13.51,0.625,10.5,4.09,0.6900000000000001,8,13.1,3,10.0
49,DeAndre Hopkins,KC,10,108.7,10.87,59,41,437.0,4,0.15314178,0.24877653,0.40385622,0.7656382,11.17,0.695,7.41,2.63,0.504,11,,8,
50,Wan'Dale Robinson,NYG,17,182.7,10.75,140,93,699.0,3,0.25093454,0.17293318,0.49745503,1.3425454,4.69,0.664,4.99,3.88,0.7594117647058823,17,38.6,9,37.5
51,Allen Lazard,NYJ,12,126.0,10.5,61,37,530.0,6,0.1421827,0.24494733,0.38473716,1.1495303,11.25,0.607,8.69,4.19,0.8433333333333333,12,14.0,3,7.3
52,Nick Westbrook-Ikhine,TEN,13,135.7,10.44,60,32,497.0,9,0.15387693,0.20352158,0.37328053,0.68792593,11.67,0.533,8.28,3.88,0.6994117647058824,9,20.0,7,31.8
53,Jalen McMillan,TB,13,135.4,10.42,58,37,461.0,8,0.13403869,0.21504468,0.35158932,1.0825092,12.14,0.638,7.95,3.59,0.7076923076923076,8,10.4,5,10.4
54,Michael Pittman,IND,16,165.8,10.36,111,69,808.0,3,0.25240564,0.25706562,0.5585544,0.6956716,11.12,0.622,7.28,3.75,,10,17.9,4,18.2
55,Amari Cooper,CLE,6,61.0,10.17,53,24,250.0,2,0.27709937,0.48841965,0.7575428,0.42517105,13.15,0.453,4.72,2.38,0.8833333333333333,5,,2,
56,Romeo Doubs,GB,13,132.1,10.16,72,46,601.0,4,0.19734262,0.3060544,0.510252,0.6902514,12.31,0.639,8.35,2.93,0.7738461538461539,9,12.7,3,12.0
57,Alec Pierce,IND,16,161.4,10.09,69,37,824.0,7,0.14812052,0.29212385,0.42666748,0.57649773,21.74,0.536,11.94,3.19,0.800625,6,10.7,4,18.2
58,Tank Dell,HOU,14,140.0,10.0,81,51,667.0,3,0.18318869,0.27536103,0.46753576,0.74500835,12.54,0.63,8.23,3.22,0.6892857142857143,8,12.5,4,11.1
59,Marquez Valdes-Scantling,NO,8,79.9,9.99,35,17,385.0,4,0.14260018,0.30720344,0.42894268,0.67001444,17.83,0.486,11.0,8.06,0.6675,0,,0,
60,Jaylen Waddle,MIA,15,149.6,9.97,83,58,744.0,2,0.16320616,0.24885342,0.41900665,0.94330716,9.96,0.699,8.96,4.07,0.7866666666666667,10,12.0,3,7.5
