rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
130,Dante Pettis,NO,8,32.0,4.0,28,12,120.0,1,0.112572506,0.1336423,0.26240838,0.41951436,10.07,0.429,4.29,3.0,0.3075,3,7.7,2,14.3
131,Nelson Agholor,BAL,13,49.1,3.78,29,14,231.0,2,0.08130484,0.12583946,0.21004488,1.24133,13.34,0.483,7.97,6.07,0.4571428571428572,0,,0,
132,Parris Campbell,PHI,4,15.0,3.75,8,6,30.0,1,0.08093467,0.047284897,0.15450144,0.7204546,4.25,0.75,3.75,1.5,0.45,0,,0,
133,Jermaine Burton,CIN,4,14.7,3.67,14,4,107.0,0,0.08042649,0.21499752,0.271138,0.37804487,21.14,0.286,7.64,5.5,0.1349999999999999,0,,0,
134,Derius Davis,LAC,11,40.100002,3.65,17,13,112.0,2,0.06234101,0.02448133,0.110648446,0.6211164,3.82,0.765,6.59,9.15,0.154,0,,0,
135,Rakim Jarrett,TB,6,21.4,3.57,11,9,124.0,0,0.053874273,0.093205534,0.14605528,1.1556064,11.55,0.818,11.27,2.0,0.325,0,,0,
136,Trey Palmer,TB,10,35.2,3.52,22,12,172.0,1,0.059117474,0.13550663,0.18353085,0.7904199,14.32,0.545,7.82,3.5,0.2953333333333333,0,,0,
137,Britain Covey,PHI,3,10.4,3.47,8,7,34.0,0,0.09783262,0.021423481,0.16174537,0.6969697,1.12,0.875,4.25,4.0,0.144,0,,0,
138,River Cracraft,MIA,4,13.6,3.4,9,7,66.0,0,0.06804749,0.08774851,0.1634952,0.935399,7.89,0.778,7.33,1.57,0.2275,0,,0,
139,Kevin Austin,NO,8,27.0,3.38,22,11,151.0,0,0.09337029,0.12756252,0.22934918,1.075635,11.77,0.5,6.86,3.36,0.665,0,,0,
140,Simi Fehoko,LAC,5,16.6,3.32,16,6,106.0,0,0.110843465,0.19200341,0.3006676,0.32857588,14.75,0.375,6.62,2.67,0.485,0,,0,
141,D.J. Chark,LAC,4,13.1,3.28,10,4,31.0,1,0.07067426,0.093207486,0.17125663,0.87946427,11.5,0.4,3.1,1.75,,0,,0,
142,DeAndre Carter,CHI,5,16.199999,3.24,14,9,72.0,0,0.07953863,0.1081533,0.19501525,0.67892504,11.07,0.643,5.14,3.56,0.1399999999999999,0,,0,
143,Robert Woods,HOU,12,38.3,3.19,30,20,203.0,0,0.07609807,0.08309374,0.17231272,0.7675913,9.47,0.667,6.77,3.65,0.3706666666666666,0,,0,
144,Adonai Mitchell,IND,17,53.76,3.16,55,23,312.0,0,0.11211459,0.16031516,0.28039247,0.72279435,14.09,0.418,5.67,4.39,0.361764705882353,5,8.9,2,9.1
145,K.J. Osborn,NE,6,18.7,3.12,18,7,57.0,1,0.11029121,0.09681105,0.23320454,0.46666667,5.94,0.389,3.17,2.29,0.5328571428571428,0,,0,
146,Bryce Oliver,TEN,5,15.5,3.1,9,6,95.0,0,0.06442559,0.075718895,0.1496416,1.1325198,10.56,0.667,10.56,4.33,0.101,0,,0,
147,Jahan Dotson,PHI,14,41.9,2.99,33,19,216.0,0,0.08410041,0.10831047,0.20196795,1.034367,9.91,0.576,6.55,3.79,0.5823529411764706,0,,0,
148,Jalen Brooks,DAL,12,35.7,2.98,30,12,177.0,1,0.06585029,0.13144597,0.19078761,0.6426536,13.63,0.4,5.9,3.08,0.3828571428571429,0,,0,
149,Scott Miller,PIT,4,11.9,2.97,9,5,69.0,0,0.08821898,0.12366898,0.21889676,1.0722222,11.78,0.556,7.67,6.6,0.25,0,,0,
