rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,opportunity_share,catch_rate,yac_per_rec,avg_snap_pct,gl_carries,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
13,Chuba Hubbard,CAR,15,241.6,16.11,250,1195.0,10,4.78,54,43,171.0,1,0.14937265,0.365,0.796,5.7,0.7733333333333333,22,11,15.3,3,9.4
14,Chase Brown,CIN,16,255.0,15.94,229,990.0,7,4.32,65,54,360.0,4,0.11445521,0.307,0.831,6.04,0.6275000000000001,14,12,10.3,7,10.8
15,James Conner,ARI,16,253.8,15.86,236,1094.0,8,4.64,55,47,414.0,1,0.114758626,0.316,0.855,10.28,0.60625,15,5,8.2,1,3.3
16,David Montgomery,DET,14,221.72,15.84,185,775.0,12,4.19,38,36,341.0,0,0.090688474,0.262,0.947,10.14,0.4185714285714286,18,3,3.4,0,0.0
17,Breece Hall,NYJ,16,240.9,15.06,209,876.0,5,4.19,76,57,483.0,3,0.14129674,0.324,0.75,8.7,0.72375,11,8,9.3,3,7.3
18,J.K. Dobbins,LAC,13,191.8,14.75,195,905.0,9,4.64,38,32,153.0,0,0.10623853,0.311,0.842,6.38,0.6338461538461538,9,5,10.0,0,0.0
19,Bucky Irving,TB,17,244.4,14.38,207,1122.0,8,5.42,52,47,392.0,0,0.0969491,0.244,0.904,11.23,0.4441176470588235,13,8,10.4,5,10.4
20,Aaron Jones,MIN,17,241.6,14.21,255,1138.0,5,4.46,62,51,408.0,2,0.12172764,0.328,0.823,8.06,0.6323529411764706,13,17,19.5,7,15.9
21,Rachaad White,TB,15,199.6,13.31,144,613.0,3,4.26,57,51,393.0,6,0.112999365,0.226,0.895,10.12,0.56625,8,10,13.0,6,12.5
22,D'Andre Swift,CHI,17,214.5,12.62,253,959.0,6,3.79,52,42,386.0,0,0.10742056,0.324,0.808,9.64,0.668235294117647,10,0,,0,
23,Tony Pollard,TEN,16,200.7,12.54,260,1079.0,5,4.15,57,41,238.0,0,0.13905226,0.349,0.719,5.39,0.678125,6,3,6.7,1,4.5
24,Rico Dowdle,DAL,16,197.8,12.36,235,1079.0,2,4.59,49,39,249.0,3,0.08399517,0.285,0.796,6.97,0.575,5,5,7.9,2,7.1
25,Najee Harris,PIT,17,204.6,12.04,263,1043.0,6,3.97,48,36,283.0,0,0.111704804,0.309,0.75,9.14,0.5,12,4,7.0,0,0.0
26,Christian McCaffrey,SF,4,47.800003,11.95,50,202.0,0,4.04,19,15,146.0,0,0.17869264,0.344,0.789,6.53,0.7224999999999999,1,4,5.3,1,2.8
27,Kareem Hunt,KC,13,155.4,11.95,200,728.0,7,3.64,32,23,176.0,0,0.079319604,0.28,0.719,9.39,0.5169230769230769,17,10,10.4,6,13.0
28,Michael Carter,ARI,3,35.8,11.93,35,131.0,1,3.74,11,11,57.0,0,0.11395275,0.251,1.0,6.64,0.6166666666666667,3,0,,0,
29,Rhamondre Stevenson,NE,15,175.9,11.73,207,801.0,7,3.87,41,33,168.0,1,0.09772809,0.289,0.805,7.18,0.6153333333333334,12,9,16.4,3,12.5
30,Brian Robinson,WAS,14,159.8,11.41,187,799.0,8,4.27,25,20,159.0,0,0.06974963,0.242,0.8,8.95,,13,4,5.9,0,0.0
31,Austin Ekeler,WAS,12,132.3,11.03,77,367.0,4,4.77,41,35,366.0,0,0.12167286,0.172,0.854,12.11,0.5266666666666667,5,0,,0,
32,Zach Charbonnet,SEA,17,183.7,10.81,135,569.0,8,4.21,52,42,308.0,1,0.10635505,0.2,0.808,8.21,0.5270588235294118,13,0,,0,
33,Tyrone Tracy,NYG,17,182.3,10.72,192,839.0,5,4.37,53,38,284.0,1,0.098014235,0.247,0.717,7.39,,0,5,11.4,2,8.3
34,Zack Moss,CIN,8,81.9,10.24,74,242.0,2,3.27,27,23,187.0,1,0.10509054,0.232,0.852,8.43,0.6175,8,3,2.6,1,1.5
35,Alexander Mattison,LV,14,137.4,9.81,132,420.0,4,3.18,48,36,294.0,1,0.11766585,0.226,0.75,8.72,0.4907142857142857,13,0,,0,
36,Ameer Abdullah,LV,13,125.2,9.63,66,311.0,2,4.71,47,40,261.0,3,0.09990651,0.143,0.851,6.3,0.369375,4,6,10.7,4,14.3
37,Jordan Mason,SF,12,115.0,9.58,153,789.0,3,5.16,14,11,91.0,0,0.061384387,0.239,0.786,5.36,0.4866666666666666,9,0,,0,
38,Jerome Ford,CLE,14,134.0,9.57,104,565.0,3,5.43,43,37,225.0,0,0.100346744,0.179,0.86,7.95,0.54,3,0,,0,
39,Tyjae Spears,TEN,12,113.6,9.47,84,312.0,4,3.71,35,30,224.0,1,0.11910981,0.181,0.857,8.5,0.4275,4,0,,0,
40,Javonte Williams,DEN,17,157.9,9.29,139,513.0,4,3.69,70,52,346.0,0,0.12767917,0.208,0.743,7.6,0.521764705882353,10,4,6.1,1,3.3
41,Travis Etienne,JAX,15,130.2,8.68,150,558.0,2,3.72,52,39,254.0,0,0.11049373,0.248,0.75,7.59,0.5393333333333333,5,5,8.5,2,6.7
42,Tank Bigsby,JAX,15,129.0,8.6,168,766.0,7,4.56,12,7,54.0,0,0.044621367,0.213,0.583,9.14,0.36125,11,0,,0,
43,Justice Hill,BAL,15,127.1,8.47,47,228.0,1,4.85,51,42,383.0,3,0.13040476,0.113,0.824,10.43,0.4173333333333333,1,8,13.1,2,6.7
44,Jaylen Warren,PIT,15,124.1,8.27,120,511.0,1,4.26,47,38,310.0,0,0.11745066,0.19,0.809,8.29,0.4493333333333333,4,6,10.5,1,4.0
45,Isiah Pacheco,KC,7,56.899998,8.13,83,310.0,1,3.73,16,12,79.0,0,0.08948866,0.243,0.75,9.92,0.4757142857142857,3,2,1.0,2,2.2
46,Nick Chubb,CLE,8,63.3,7.91,102,332.0,3,3.25,11,5,31.0,1,0.03763163,0.224,0.455,6.2,0.4125,6,0,,0,
47,Isaac Guerendo,SF,13,96.2,7.4,84,420.0,4,5.0,16,15,152.0,0,0.094691336,0.137,0.938,7.13,0.229375,5,0,,0,
48,Ray Davis,BUF,16,116.1,7.26,113,442.0,3,3.91,19,17,189.0,3,0.058956403,0.144,0.895,9.65,0.2435294117647058,3,2,3.4,2,7.1
49,Miles Sanders,CAR,11,77.3,7.03,55,205.0,2,3.73,30,24,148.0,1,0.097160645,0.138,0.8,6.25,0.3336363636363636,2,0,,0,
50,Sincere McCormick,LV,4,27.2,6.8,39,183.0,0,4.69,7,6,29.0,0,0.06778712,0.195,0.857,4.83,0.26,2,0,,0,
51,Roschon Johnson,CHI,12,77.4,6.45,55,150.0,6,2.73,20,16,104.0,0,0.09166796,0.105,0.8,6.0,0.2814285714285714,9,0,,0,
52,Devin Singletary,NYG,15,96.6,6.44,113,437.0,4,3.87,24,21,119.0,0,0.061069403,0.162,0.875,8.48,0.3893333333333333,5,0,,0,
53,Cam Akers,MIN,10,62.9,6.29,64,297.0,1,4.64,11,10,52.0,2,0.051892012,0.131,0.909,7.2,0.2233333333333333,4,4,,4,
