rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,passing_yards,passing_tds,interceptions,comp_pct,yards_per_attempt,td_rate,sacks,carries,rushing_yards,rushing_tds,fppg
1,Lamar Jackson,BAL,17,430.38,25.32,4172.0,41,4.0,0.667,8.8,0.086,23.0,139,915.0,4,25.32
2,Josh Allen,BUF,16,372.34,23.27,3731.0,28,6.0,0.636,7.72,0.058,14.0,102,531.0,12,23.27
3,Joe Burrow,CIN,17,372.82,21.93,4918.0,43,9.0,0.706,7.54,0.066,48.0,42,201.0,2,21.93
4,Baker Mayfield,TB,17,365.8,21.52,4500.0,41,16.0,0.714,7.89,0.072,40.0,60,378.0,3,21.52
5,Jalen Hurts,PHI,15,315.12,21.01,2903.0,18,5.0,0.687,8.04,0.05,38.0,150,630.0,14,21.01
6,Jayden Daniels,WAS,17,355.82,20.93,3568.0,25,9.0,0.69,7.43,0.052,47.0,148,891.0,6,20.93
7,Jared Goff,DET,17,324.46,19.09,4629.0,37,12.0,0.724,8.59,0.069,31.0,35,56.0,0,19.03
8,Bo Nix,DEN,17,317.2,18.66,3775.0,29,12.0,0.663,6.66,0.051,24.0,92,430.0,4,18.6
9,Sam Darnold,MIN,17,307.96,18.12,4319.0,35,12.0,0.662,7.92,0.064,48.0,67,212.0,1,18.12
10,Brock Purdy,SF,15,266.86002,17.79,3864.0,20,12.0,0.659,8.49,0.044,31.0,66,323.0,5,17.79
11,Patrick Mahomes,KC,16,283.02,17.69,3928.0,26,11.0,0.675,6.76,0.045,36.0,58,307.0,2,17.63
12,Kyler Murray,ARI,17,297.24,17.48,3851.0,21,11.0,0.688,7.12,0.039,30.0,78,572.0,5,17.48
13,Justin Herbert,LAC,17,285.4,16.79,3870.0,23,3.0,0.659,7.68,0.046,41.0,69,306.0,2,16.79
14,Tua Tagovailoa,MIA,11,181.58,16.51,2867.0,19,7.0,0.729,7.19,0.048,21.0,17,49.0,0,16.51
15,Russell Wilson,PIT,11,172.78,15.71,2482.0,16,5.0,0.637,7.39,0.048,33.0,43,155.0,2,15.71
16,Geno Smith,SEA,17,266.0,15.65,4320.0,21,15.0,0.704,7.47,0.036,50.0,53,272.0,2,15.65
17,Jordan Love,GB,15,233.86,15.59,3389.0,25,11.0,0.631,7.97,0.059,14.0,25,83.0,1,15.59
18,Aaron Rodgers,NYJ,17,256.58,15.09,3897.0,28,11.0,0.63,6.67,0.048,40.0,22,107.0,0,15.09
19,Derek Carr,NO,10,150.9,15.09,2145.0,15,5.0,0.677,7.69,0.054,8.0,17,71.0,1,15.09
20,Caleb Williams,CHI,17,254.54,14.97,3541.0,20,6.0,0.625,6.3,0.036,68.0,81,489.0,0,14.97
21,Anthony Richardson,IND,11,163.36,14.85,1814.0,8,12.0,0.477,6.87,0.03,14.0,86,499.0,6,14.76
22,Trevor Lawrence,JAX,10,145.7,14.57,2045.0,11,7.0,0.606,7.2,0.039,18.0,26,119.0,3,14.57
23,Dak Prescott,DAL,8,116.520004,14.57,1978.0,11,8.0,0.647,6.92,0.038,21.0,13,54.0,1,14.57
24,Joe Flacco,IND,7,99.04,14.15,1761.0,12,7.0,0.653,7.1,0.048,18.0,9,26.0,0,14.15
25,Bryce Young,CAR,14,195.02,13.93,2403.0,15,9.0,0.609,6.26,0.039,29.0,43,249.0,6,13.93
26,Drake Maye,NE,13,177.14,13.63,2276.0,15,10.0,0.666,6.73,0.044,34.0,54,421.0,2,13.63
27,Daniel Jones,NYG,10,135.3,13.53,2070.0,8,7.0,0.633,6.07,0.023,29.0,67,265.0,2,13.53
28,Matthew Stafford,LA,16,214.58,13.41,3762.0,20,8.0,0.658,7.28,0.039,28.0,30,41.0,0,13.41
29,C.J. Stroud,HOU,17,220.38,12.96,3727.0,20,12.0,0.632,7.01,0.038,52.0,52,233.0,0,12.96
30,Kirk Cousins,ATL,14,176.32,12.59,3508.0,18,16.0,0.669,7.74,0.04,28.0,23,0.0,0,12.59
31,Tyler Huntley,MIA,5,60.66,12.13,829.0,3,3.0,0.647,6.23,0.023,15.0,26,135.0,2,12.13
32,Mason Rudolph,TEN,8,95.8,11.98,1530.0,9,9.0,0.64,6.71,0.039,11.0,25,106.0,1,11.98
33,Jameis Winston,CLE,11,131.14,11.92,2121.0,13,12.0,0.611,7.17,0.044,24.0,25,83.0,1,11.92
34,Justin Fields,PIT,10,119.14,11.91,1106.0,5,1.0,0.658,6.87,0.031,16.0,62,289.0,5,11.91
35,Drew Lock,NYG,7,80.14,11.45,1071.0,6,5.0,0.591,5.92,0.033,12.0,18,133.0,2,11.45
36,Deshaun Watson,CLE,7,76.72,10.96,1148.0,5,3.0,0.634,5.31,0.023,33.0,31,148.0,1,10.96
37,Aidan O'Connell,LV,9,93.479996,10.39,1612.0,8,4.0,0.634,6.63,0.033,10.0,21,30.0,1,10.39
38,Will Levis,TEN,12,119.94,10.0,2091.0,13,12.0,0.631,6.95,0.043,41.0,45,183.0,0,10.0
39,Andy Dalton,CAR,6,58.96,9.83,989.0,7,6.0,0.662,6.18,0.044,7.0,11,34.0,0,9.83
40,Gardner Minshew,LV,10,96.32,9.63,2013.0,9,10.0,0.663,6.58,0.029,29.0,19,58.0,0,9.63
41,Spencer Rattler,NO,7,67.28,9.61,1317.0,4,5.0,0.57,5.78,0.018,22.0,18,146.0,0,9.61
42,Mac Jones,JAX,10,96.08,9.61,1672.0,8,8.0,0.653,6.38,0.031,14.0,28,92.0,1,9.61
43,Cooper Rush,DAL,12,109.56,9.13,1844.0,12,5.0,0.607,5.99,0.039,13.0,26,18.0,0,9.13
44,Michael Penix,ATL,5,44.1,8.82,775.0,3,3.0,0.581,7.38,0.029,4.0,7,11.0,1,8.82
45,Malik Willis,GB,6,51.8,8.63,550.0,3,0.0,0.741,10.19,0.056,8.0,20,138.0,1,8.63
46,Jacoby Brissett,NE,7,45.24,6.46,826.0,2,1.0,0.59,5.13,0.012,18.0,15,62.0,0,6.46
47,Kenny Pickett,PHI,5,25.140001,5.03,291.0,2,1.0,0.595,6.93,0.048,4.0,9,15.0,1,5.03
48,Desmond Ridder,LV,5,21.92,4.38,458.0,2,2.0,0.612,5.39,0.024,10.0,9,36.0,0,4.38
49,Dorian Thompson-Robinson,CLE,6,15.8,2.63,440.0,0,6.0,0.517,3.73,0.0,8.0,21,122.0,0,2.63
50,Mitchell Trubisky,BUF,8,15.26,1.91,179.0,2,0.0,0.731,6.88,0.077,0.0,17,1.0,0,1.91
51,Jake Haener,NO,8,13.24,1.65,226.0,1,1.0,0.462,5.79,0.026,6.0,11,22.0,0,1.65
52,Clayton Tune,ARI,5,-2.08,-0.42,8.0,0,0.0,1.0,4.0,0.0,0.0,7,-4.0,0,-0.42
